年份,月份,分组,加权回报率
2020,10,0,0.004585406
2020,11,0,0.036314262
2020,12,0,0.023710025
2020,9,1,-0.040335033
2020,10,1,0.02362422
2020,11,1,0.058395437
2020,12,1,0.060394225
2020,9,2,-0.046264433
2020,10,2,0.011395624
2020,11,2,0.021540328
2020,12,2,0.092728385
2020,9,3,-0.053037446
2020,10,3,0.05777972
2020,11,3,0.015634268
2020,12,3,0.080916492
2020,9,4,-0.028811607
2020,10,4,0.038369081
2020,11,4,0.032824825
2020,12,4,0.064564124
2021,9,0,-0.015116406
2021,10,0,0.005894642
2021,11,0,0.07668445
2021,12,0,0.027008454
2021,9,1,-0.012518137
2021,10,1,0.036743312
2021,11,1,0.072304992
2021,12,1,0.016477753
2021,9,2,-0.000550974
2021,10,2,0.027462867
2021,11,2,0.072004995
2021,12,2,0.017187745
2021,9,3,0.010868272
2021,10,3,0.054072293
2021,11,3,0.049436517
2021,12,3,0.001469922
2021,9,4,-0.013357314
2021,10,4,0.029960023
2021,11,4,0.031344985
2021,12,4,0.00268831
2022,9,0,-0.088243127
2022,10,0,0.001881701
2022,11,0,0.087306249
2022,12,0,-0.032066429
2022,9,1,-0.089717724
2022,10,1,0.019916688
2022,11,1,0.075732273
2022,12,1,-0.016661947
2022,9,2,-0.073948454
2022,10,2,0.030343566
2022,11,2,0.07309363
2022,12,2,-0.020226809
2022,9,3,-0.08508954
2022,10,3,0.000293866
2022,11,3,0.077194037
2022,12,3,-0.001098966
2022,9,4,-0.062289894
2022,10,4,0.008768601
2022,11,4,0.081747649
2022,12,4,-0.010570288
2023,9,0,0.005932015
2023,10,0,0.01157908
2023,11,0,0.014325201
2023,12,0,-0.020153347
2023,9,1,-0.001397552
2023,10,1,-0.011954325
2023,11,1,0.015632873
2023,12,1,-0.018325127
2023,9,2,-0.017192663
2023,10,2,-0.006880222
2023,11,2,0.00037105
2023,12,2,-0.008260374
2023,9,3,-0.008676152
2023,10,3,-0.017846388
2023,11,3,0.029781413
2023,12,3,-0.011952283
2023,9,4,-0.012477989
2023,10,4,-0.017321477
2023,11,4,-0.000978367
2023,12,4,-0.004188437
